Компания,ИНН,Оборотные активы (тыс. руб),Собственный капитал (тыс. руб),Заемные средства (тыс. руб),Кредиторская задолженность (тыс. руб), Прочие обязательства (тыс. руб),Долгосрочные обязательства (тыс. руб),Краткосрочные обязательства (тыс. руб),Активы предприятия (тыс. руб),Объем продаж (тыс. руб),Прибыль до налогообложения (тыс. руб),Чистая прибыль (тыс. руб),Дивиденды (тыс. руб),Цена покупки акции (руб.),Цена продажи акции (руб.)
ПАО ГАЗПРОМ,7736050003,3807394022,17415464795,1330067410,1324091821,4785218,6122721266,2809651948,26347838009,5620061583,784586070,695570288,2102534774,158,166
ПАО ЛУКОЙЛ,7708004767,1162983638,1308113431,571757876,693018941,0,119285481,1283309944,2710708856,2753475003,738216053,655289456,524614741,3955,7091
ПАО СИБУР ХОЛДИНГ,7727547261,273251473,881263643,250343126,279041629,0,531060185,530161627,1942485455,1031571277,120094089,90744230,103668310,95,95
ПАО АЭРОФЛОТ,7712040126,236738444,-97 298 540,40 362 449,226 321 375,0,749 202 543,282 364 132,934 268 135,497 511 315,-30 769 788,-29456385,0,28,39
ПАО МТС,7740000076,114830307,129543788,241574456,164681260,0,571532865,417030811,1118107464,422273105,53469818,48391697,52611940,250,275
ПАО РОССЕТИ,4716016979,231667063,1 498 490 645,43 076 082,178 318 845,3 194 471,377 229 224,2 114 707 915,2 114 707 915,326 233 254,341 277 476,320 393 162,0,0,0
ПАО АКРОН,5911029807,127056346,161 793 760,36 605 973,21 322 055,543 582,62 439 262,65 019 420,289 252 442,126 820 736,39 966 247,29 062 317,56,18188,18418
ПАО ЮНИПРО,8602067092,68405707,162 111 684,236 000,7 146 466,1 116 531,7 575 268,9 945 255,179 632 207,124 185 018,26 715 583,21 475 288,0,1,2
ПАО МОСЭНЕРГО,7705035012,97147659,332 752 408,0,23 451 965,418 772,35 131 984,27 804 785,395 689 177,247 149 540,23 430 852,19 259 237,7 332 455,2,3
ПАО ДЭК,2723088770,17168383,17 359 593,164 496,13 323 172,0,577 377,14 393 333,32 330 303,156 021 192,4 437 160,3 268 399,0,1,4
ПАО ТГК-1,7841312071,39371940,142 046 969,16 388 406,12 518 261,269 049,23 568 072,30 980 091,196 595 132,101 697 792,-660 990,-779 430,0,0,0
ПАО ФОРВАРД ЭНЕРГО,7203162698,55847341,117 199 421,63 358 485,18 504 599,251 878,33 539 414,83 469 841,234 208 676,77 644 202,16 566 291,13 232 122,0,90,105
ПАО РОССЕТИ ВОЛГА,6450925977,10437571,47 357 135,31 033,12 636 201,19 483,15 817 484,14 084 302,77 258 921,76 810 154,3 007 446,2 320 252,30,0,0
ПАО АВИАКОМПАНИЯ ЮТЭЙР,7204002873,33325662,-5 184 358,7 326 047,13 641 700,6 023 093,54 760 995,27 637 268,77 213 905,68 336 321,4 096 164,3 426 593,0,7,16
ПАО ЭЛ5-ЭНЕРГО,6671156423,8873373,45530720,5 598 453,4 603 741,0,2 648 004,10 818 184,58 996 908,53 218 224,3 881 839,2 986 800,0,1,1
ПАО ТНС ЭНЕРГО НН,5260148520,15407758,59578,5 960 853,9 531 041,0,3 006 454,19 667 096,19 667 096,49 671 780,-520 502,-275 975,0,1880,5880
ПАО ДЕТСКИЙ МИР,7729355029,4484251,15627 952,0,3 454 668,0,0,3 765 667,19 393 619,57 845 760,-20 130 338,-21 325 789,62,69,60
ПАО ТАТТЕЛЕКОМ,1681000024,6038846,14 103 384,0,2 744 681,0,140 079,3 224 125,17 467 588,8 810 071,1 782 151,1 358 096,1 040 685,1,1
ПАО ДВМП,2540047110,5956433,23 195 146,423 614,4 030 418,1 475 845,31 130 359,6 920 924,61 246 429,8 733 255,6 435 390,5 949 917,0,34,88
ПАО ЯТЭК,1435032049,4647011,16003452,2282568,1138635,46292,11654252,3579479,31237183,8414510,1769736,1443358,21,127,88

